second, CPU_Usage, Miss_Count, QoS
0, 1.16132, 4, 0.145852
1, 66.6667, 43, -4.73815
2, 70, 46, -10.0661
3, 69, 43, -14.9501
4, 70.8543, 50, -20.8701
5, 65.8291, 39, -25.1621
6, 68.1592, 49, -30.9341
7, 67.3469, 48, -36.5581
8, 68.3168, 42, -41.2941
9, 66.6667, 36, -45.1421
10, 63.3166, 40, -49.5821
11, 69.5, 30, -52.5421
12, 65.6863, 45, -57.7221
13, 64, 43, -62.6061
14, 66.4975, 44, -67.6381
15, 69.1542, 48, -73.2621
16, 65.6863, 37, -77.2581
17, 62.7551, 43, -82.1422
18, 61.1111, 36, -85.9902
19, 68.1373, 45, -91.1702
20, 69.5, 49, -96.9422
21, 67.3469, 44, -101.974
22, 62.3762, 38, -106.118
23, 64, 41, -110.706
24, 67.1569, 35, -114.406
25, 70.6468, 44, -119.438
26, 71, 46, -124.766
27, 67.1642, 42, -129.502
28, 71, 42, -134.238
29, 65.3465, 40, -138.678
30, 64, 42, -143.414
31, 63, 45, -148.594
32, 64.2857, 43, -153.478
33, 68, 44, -158.51
34, 66.5049, 45, -163.69
35, 61.7347, 36, -167.538
36, 64.878, 35, -171.238
37, 65.9898, 41, -175.826
38, 65.1741, 37, -179.822
39, 66.0098, 43, -184.706
40, 66.6667, 42, -189.442
41, 63.6364, 35, -193.142
42, 65.3465, 44, -198.174
43, 64.6465, 39, -202.466
44, 67.1569, 39, -206.758
45, 69, 46, -212.086
46, 64.5, 45, -217.266
47, 68.932, 45, -222.446
48, 67, 43, -227.33
49, 64.9746, 43, -232.214
